goals,gameweek,team,xG
1,1,BRI,1.44281
0,2,CHE,0.904183
3,3,WBA,0.911185
4,4,CHE,2.51433
3,5,CHE,1.98708
0,6,MUN,0.648427
0,7,BUR,0.407341
4,8,CHE,2.87622
0,9,NEW,0.368286
0,10,CHE,0.974755
3,11,CHE,4.89472
1,12,EVE,1.2216
2,13,WOL,0.683783
3,14,CHE,2.41157
3,15,ARS,1.94485
1,16,CHE,1.53701
1,17,CHE,0.691013
0,18,FLH,0.46126
2,19,LEI,1.1449
0,20,CHE,0.663324
2,21,CHE,1.4405
0,22,TOT,0.569446
1,23,SHE,0.623045
2,24,CHE,2.5428
1,25,SOU,0.496603
0,26,CHE,1.17294
0,27,LIV,0.247034
2,28,CHE,2.57224
0,29,LED,0.382957
2,30,CHE,2.55917
1,31,CRY,0.602167
0,32,CHE,0.807348
0,33,WHU,0.267123
2,34,CHE,1.8433
1,35,MCI,1.79168
0,36,CHE,1.56786
2,37,CHE,2.86149
2,38,AVL,0.980413
3,1,CHE,1.27062
2,2,LIV,2.25211
3,3,CHE,2.36046
0,4,CRY,0.103249
3,5,SOU,1.42348
0,6,CHE,0.219906
3,7,CHE,1.23077
1,8,SHE,0.743967
2,9,CHE,1.81923
0,10,TOT,0.22689
1,11,LED,1.0277
0,12,CHE,1.00627
1,13,CHE,1.56772
0,14,WHU,0.277737
1,15,CHE,2.25414
1,16,AVL,0.730859
3,17,MCI,3.18063
1,18,CHE,1.37939
0,19,CHE,0.615727
0,20,WOL,0.63192
0,21,BUR,0.390714
1,22,CHE,2.393
2,23,CHE,1.64144
0,24,NEW,0.432603
1,25,CHE,1.44849
0,26,MUN,0.35954
1,27,CHE,1.22635
0,28,EVE,0.270757
0,29,CHE,0.971054
5,30,WBA,1.38315
4,31,CHE,3.85472
0,32,BRI,0.459568
1,33,CHE,2.52059
0,34,FLH,0.290042
2,35,CHE,0.619724
1,36,ARS,0.692043
1,37,LEI,0.832596
1,38,CHE,3.43414
